food_id,time,price
1,2024/1/1 0:00,7.99
1,2024/2/1 0:00,8.49
1,2024/3/1 0:00,8.99
1,2024/4/1 0:00,9.49
1,2024/5/1 0:00,8.99
2,2024/1/1 0:00,6.99
2,2024/2/1 0:00,7.49
2,2024/3/1 0:00,7.99
2,2024/4/1 0:00,8.49
2,2024/5/1 0:00,7.49
3,2024/1/1 0:00,6.49
3,2024/2/1 0:00,6.99
3,2024/3/1 0:00,7.49
3,2024/4/1 0:00,7.99
3,2024/5/1 0:00,6.99
4,2024/1/1 0:00,6.99
4,2024/2/1 0:00,7.49
4,2024/3/1 0:00,7.99
4,2024/4/1 0:00,8.49
4,2024/5/1 0:00,7.49
5,2024/1/1 0:00,8.49
5,2024/2/1 0:00,8.99
5,2024/3/1 0:00,9.49
5,2024/4/1 0:00,9.99
5,2024/5/1 0:00,9.99
6,2024/1/1 0:00,9.99
6,2024/2/1 0:00,10.49
6,2024/3/1 0:00,10.99
6,2024/4/1 0:00,11.49
6,2024/5/1 0:00,10.49
7,2024/1/1 0:00,7.99
7,2024/2/1 0:00,8.49
7,2024/3/1 0:00,8.99
7,2024/4/1 0:00,9.49
7,2024/5/1 0:00,8.49
8,2024/1/1 0:00,4.99
8,2024/2/1 0:00,5.49
8,2024/3/1 0:00,5.99
8,2024/4/1 0:00,6.49
8,2024/5/1 0:00,5.99
9,2024/1/1 0:00,7.99
9,2024/2/1 0:00,8.49
9,2024/3/1 0:00,8.99
9,2024/4/1 0:00,9.49
9,2024/5/1 0:00,8.99
10,2024/1/1 0:00,8.49
10,2024/2/1 0:00,8.99
10,2024/3/1 0:00,9.49
10,2024/4/1 0:00,9.99
10,2024/5/1 0:00,9.49
11,2024/1/1 0:00,3.99
11,2024/2/1 0:00,4.49
11,2024/3/1 0:00,4.99
11,2024/4/1 0:00,5.49
11,2024/5/1 0:00,4.99
12,2024/1/1 0:00,5.99
12,2024/2/1 0:00,6.49
12,2024/3/1 0:00,6.99
12,2024/4/1 0:00,7.49
12,2024/5/1 0:00,6.49
13,2024/1/1 0:00,6.99
13,2024/2/1 0:00,7.49
13,2024/3/1 0:00,7.99
13,2024/4/1 0:00,8.49
13,2024/5/1 0:00,7.99
14,2024/1/1 0:00,2.99
14,2024/2/1 0:00,3.49
14,2024/3/1 0:00,3.99
14,2024/4/1 0:00,4.49
14,2024/5/1 0:00,3.49
15,2024/1/1 0:00,11.99
15,2024/2/1 0:00,12.49
15,2024/3/1 0:00,12.99
15,2024/4/1 0:00,13.49
15,2024/5/1 0:00,12.99
16,2024/1/1 0:00,10.99
16,2024/2/1 0:00,11.49
16,2024/3/1 0:00,11.99
16,2024/4/1 0:00,12.49
16,2024/5/1 0:00,11.49
17,2024/1/1 0:00,6.99
17,2024/2/1 0:00,7.49
17,2024/3/1 0:00,7.99
17,2024/4/1 0:00,8.49
17,2024/5/1 0:00,7.49
18,2024/1/1 0:00,7.99
18,2024/2/1 0:00,8.49
18,2024/3/1 0:00,8.99
18,2024/4/1 0:00,9.49
18,2024/5/1 0:00,8.49
19,2024/1/1 0:00,5.99
19,2024/2/1 0:00,6.49
19,2024/3/1 0:00,6.99
19,2024/4/1 0:00,7.49
19,2024/5/1 0:00,6.99
20,2024/1/1 0:00,6.99
20,2024/2/1 0:00,7.49
20,2024/3/1 0:00,7.99
20,2024/4/1 0:00,8.49
20,2024/5/1 0:00,7.99
